window_weeks,window_years,recall,false_alarm,cx_total,cx_dotcom,cx_1970s,gfc_rally_hold,recovery_false_alarm,oos_recall,oos_false_alarm,dd_bull,dd_bear_gap,dd_tbull_gap,dd_scale
26,0.5,0.524608340748099,0.13367132245982968,164,22,37,0.8471702933311462,0.18284247815608978,0.6639056559094224,0.1288627848955298,-0.0177235696464777,0.0831228494644165,0.2395664006471634,0.02736903354525566
39,0.75,0.49701837917777575,0.11789396439600584,156,16,43,0.992092490196228,0.17513246834278107,0.5763560150424152,0.11752054479253071,-0.02028580941259861,0.09503262490034103,0.2413322776556015,0.030224446207284927
52,1.0,0.4190126042461819,0.11493273104134981,100,12,23,0.9749638438224792,0.22567538917064667,0.5300737422050978,0.10016240785345149,-0.02481047436594963,0.11516367644071579,0.26419785618782043,0.03334159776568413
65,1.25,0.3969388556540575,0.13574898867954727,80,13,21,0.9403710961341858,0.2995047867298126,0.4826954638711047,0.09754861997672598,-0.026701660826802254,0.12848177552223206,0.30358266830444336,0.03496621176600456
78,1.5,0.3696166969370985,0.14423972232253035,82,11,23,0.9499198794364929,0.3063979148864746,0.49720414313332456,0.1104947375514453,-0.027123477309942245,0.1253807693719864,0.2894779145717621,0.03662348911166191
104,2.0,0.3644674516544705,0.15536612491757554,80,9,23,0.8426364660263062,0.31503182649612427,0.4342688254042183,0.10429013851039473,-0.02960251085460186,0.14075344800949097,0.3334251642227173,0.03765073046088219
156,3.0,0.3600537298761625,0.14801904672152735,82,8,25,0.8909298777580261,0.2650695741176605,0.44807731067643364,0.10795452354664324,-0.031417474150657654,0.13280203938484192,0.31514230370521545,0.040428925305604935
